model_name,sentence_idx_in_dataset,original_sentence_text,token_sequence_idx,token_text,token_original_word_idx,surprisal_value
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",2,that,2,2.7497
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",3,with,3,8.5595
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",4,gust,4,15.2661
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",5,o,4,0.0394
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",6,our,5,10.9361
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",7,uncle,6,14.2262
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",8,grabbed,7,13.3739
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",9,the,8,3.0922
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",10,food,9,10.5866
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",11,in,10,5.0360
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",12,front,11,2.4540
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",13,of,12,0.0250
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",14,the,13,5.0369
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",15,guests,14,9.9002
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",16,at,15,4.7188
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",17,the,16,1.3020
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",18,holiday,17,11.6307
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",19,party,18,1.3574
gpt2,1,"I know that with gusto our uncle grabbed the food in front of the guests at the holiday party ,",20,",",19,11.4188
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",0,I,0,5.7704
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",1,know,1,5.5457
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",2,what,2,4.5105
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",3,with,3,13.4880
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",4,gust,4,19.2782
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",5,o,4,0.1108
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",6,our,5,11.9136
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",7,uncle,6,14.2465
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",8,grabbed,7,13.4772
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",9,in,8,8.0290
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",10,front,9,4.3241
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",11,of,10,0.0122
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",12,the,11,3.1936
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",13,guests,12,13.0624
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",14,at,13,3.7506
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",15,the,14,1.6375
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",16,holiday,15,10.8489
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",17,party,16,1.0735
gpt2,2,"I know what with gusto our uncle grabbed in front of the guests at the holiday party ,",18,",",17,10.9516
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,0,I,0,5.7704
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,1,know,1,5.5457
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,2,that,2,2.7497
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,3,with,3,8.5595
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,4,gust,4,15.2661
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,5,o,4,0.0394
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,6,our,5,10.9361
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,7,uncle,6,14.2262
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,8,grabbed,7,13.3739
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,9,in,8,9.5188
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,10,front,9,3.4089
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,11,of,10,0.0681
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,12,the,11,2.9117
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,13,guests,12,13.4982
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,14,at,13,4.1733
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,15,the,14,1.5389
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,16,holiday,15,11.5693
gpt2,3,I know that with gusto our uncle grabbed in front of the guests at the holiday party,17,party,16,1.3258
